Equipo,J0,J1,J2,J3,J4,J5,J6,J7
Alavés,5.1999999999999975,8.399999999999986,7.799999999999988,2.900000000000001,1.3,1.9000000000000008,2.1000000000000005,1.0999999999999999
Athletic Club,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0
Betis,0.5,0.7,0.5,0.1,0.2,0.0,0.2,0.4
Celta Vigo,4.300000000000001,2.800000000000001,1.3,1.5000000000000002,2.900000000000001,0.8999999999999999,1.4,2.0000000000000004
Espanyol,45.70000000000038,60.10000000000058,69.50000000000033,59.20000000000057,44.60000000000037,28.90000000000014,32.40000000000019,33.2000000000002
Getafe,12.99999999999997,11.699999999999974,12.599999999999971,13.299999999999969,13.299999999999969,17.199999999999974,20.40000000000002,25.200000000000088
Girona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Las Palmas,35.80000000000024,40.2000000000003,42.90000000000034,41.10000000000032,46.40000000000039,56.90000000000054,60.30000000000059,64.8000000000006
Leganés,70.30000000000028,69.00000000000036,58.50000000000056,57.10000000000054,65.80000000000054,68.70000000000037,69.00000000000036,75.39999999999999
Mallorca,11.099999999999977,9.299999999999985,14.199999999999966,15.79999999999996,7.599999999999989,10.999999999999975,8.099999999999987,2.2000000000000006
Osasuna,12.69999999999997,12.89999999999997,8.599999999999985,12.499999999999972,5.999999999999995,7.39999999999999,7.899999999999988,5.999999999999995
Rayo Vallecano,29.100000000000144,17.799999999999983,12.89999999999997,17.299999999999976,23.90000000000007,16.79999999999997,13.599999999999968,6.399999999999993
Real Sociedad,0.1,0.4,0.2,0.5,0.8999999999999999,0.8999999999999999,1.1,1.6000000000000003
Sevilla,7.599999999999989,7.599999999999989,11.899999999999974,8.599999999999985,16.29999999999996,9.89999999999998,12.199999999999973,7.699999999999989
Valencia,9.79999999999998,13.09999999999997,19.200000000000003,22.40000000000005,21.10000000000003,21.70000000000004,16.79999999999997,11.099999999999977
Valladolid,54.2000000000005,45.20000000000037,39.70000000000029,47.4000000000004,49.50000000000043,57.70000000000055,54.5000000000005,62.70000000000062
Villarreal,0.6,0.7999999999999999,0.2,0.1,0.2,0.0,0.0,0.1
