Equipo,J0,J1,J2,J3,J4,J5,J6,J7
Alavés,6.299999999999994,3.900000000000002,4.200000000000001,7.29999999999999,12.99999999999997,5.999999999999995,9.99999999999998,12.199999999999973
Athletic Club,34.900000000000226,35.20000000000023,34.70000000000022,37.20000000000026,39.20000000000029,39.9000000000003,42.00000000000033,36.80000000000025
Atlético Madrid,15.39999999999996,16.09999999999996,13.799999999999969,17.399999999999977,11.399999999999975,10.899999999999975,8.199999999999987,5.699999999999996
Barcelona,6.099999999999994,2.700000000000001,3.3000000000000016,1.5000000000000002,1.2,0.3,0.1,0.2
Betis,24.60000000000008,26.0000000000001,25.60000000000009,26.0000000000001,29.700000000000152,29.200000000000145,24.900000000000084,22.40000000000005
Celta Vigo,6.899999999999992,9.199999999999983,14.099999999999966,10.09999999999998,8.299999999999986,9.99999999999998,9.099999999999984,8.399999999999986
Espanyol,0.3,0.1,0.0,0.0,0.0,0.7,0.4,0.2
Getafe,1.5000000000000002,3.1000000000000014,3.4000000000000017,2.2000000000000006,2.0000000000000004,0.7,1.2,0.7
Girona,32.40000000000019,32.9000000000002,34.100000000000215,32.8000000000002,26.600000000000108,37.80000000000027,36.80000000000025,42.80000000000034
Las Palmas,0.2,0.2,0.2,0.1,0.3,0.1,0.2,0.0
Leganés,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0
Mallorca,2.400000000000001,4.300000000000001,2.500000000000001,1.4,5.1999999999999975,1.6000000000000003,3.5000000000000018,9.399999999999983
Osasuna,3.200000000000001,3.700000000000002,4.5,2.2000000000000006,4.6,3.900000000000002,3.900000000000002,2.600000000000001
Rayo Vallecano,0.2,1.7000000000000004,2.0000000000000004,2.0000000000000004,0.6,0.7999999999999999,0.7999999999999999,4.000000000000002
Real Madrid,0.1,0.4,0.5,0.4,0.4,0.3,0.1,0.0
Real Sociedad,34.100000000000215,26.300000000000104,24.70000000000008,19.1,20.700000000000024,13.399999999999968,15.69999999999996,10.799999999999978
Sevilla,5.1999999999999975,7.19999999999999,3.3000000000000016,2.700000000000001,1.8000000000000005,2.600000000000001,1.6000000000000003,1.8000000000000005
Valencia,3.5000000000000018,2.800000000000001,1.2,0.7,0.8999999999999999,1.1,1.0,1.8000000000000005
Valladolid,0.0,0.3,0.4,0.2,0.0,0.2,0.2,0.1
Villarreal,22.60000000000005,23.800000000000068,27.40000000000012,36.50000000000025,34.100000000000215,40.50000000000031,40.3000000000003,40.1000000000003
