Club,Elo,Fecha
Manchester City,2077.25219727,2023-08-11
Liverpool,1946.90002441,2023-08-11
Bayern Munich,1935.60424805,2023-08-11
Arsenal,1919.36901855,2023-08-11
Real Madrid,1906.48034668,2023-08-11
Napoli,1904.43603516,2023-08-11
Inter,1882.34521484,2023-08-11
Newcastle Utd,1876.0,2023-08-11
Manchester Utd,1873.63146973,2023-08-11
Barcelona,1862.13867188,2023-08-11
Atlético Madrid,1846.30627441,2023-08-11
Dortmund,1840.50537109,2023-08-11
Milan,1829.89758301,2023-08-11
Brighton,1828.16931152,2023-08-11
Aston Villa,1827.99499512,2023-08-11
RB Leipzig,1825.3536377,2023-08-11
Brentford,1824.33068848,2023-08-11
Tottenham,1815.87365723,2023-08-11
Paris S-G,1808.75219727,2023-08-11
Juventus,1796.9083252,2023-08-11
Roma,1789.64709473,2023-08-11
Real Sociedad,1788.48535156,2023-08-11
Chelsea,1788.09460449,2023-08-11
Lazio,1779.96057129,2023-08-11
West Ham,1779.45031738,2023-08-11
Villarreal,1771.59436035,2023-08-11
Sevilla,1768.19970703,2023-08-11
Lens,1759.54455566,2023-08-11
Atalanta,1759.26855469,2023-08-11
Crystal Palace,1757.39599609,2023-08-11
Fiorentina,1749.19775391,2023-08-11
Leverkusen,1748.23254395,2023-08-11
Betis,1739.27758789,2023-08-11
Union Berlin,1738.89282227,2023-08-11
Fulham,1736.63720703,2023-08-11
Freiburg,1732.63806152,2023-08-11
Burnley,1726.4017334,2023-08-11
Wolves,1719.03808594,2023-08-11
Eint Frankfurt,1717.03186035,2023-08-11
Wolfsburg,1709.9876709,2023-08-11
Everton,1708.23474121,2023-08-11
Rennes,1703.99707031,2023-08-11
Marseille,1700.8392334,2023-08-11
Bologna,1700.78601074,2023-08-11
Lille,1698.28527832,2023-08-11
Athletic Club,1696.69445801,2023-08-11
Lyon,1694.09020996,2023-08-11
Torino,1692.61523438,2023-08-11
Gladbach,1684.26477051,2023-08-11
Mainz 05,1682.00183105,2023-08-11
Nott'ham Forest,1673.96276855,2023-08-11
Osasuna,1670.76525879,2023-08-11
Girona,1666.83972168,2023-08-11
Köln,1664.421875,2023-08-11
Valencia,1661.92834473,2023-08-11
Bournemouth,1660.63806152,2023-08-11
Celta Vigo,1659.39855957,2023-08-11
Monza,1655.75585938,2023-08-11
Nice,1654.30236816,2023-08-11
Udinese,1652.01391602,2023-08-11
Getafe,1651.05541992,2023-08-11
Monaco,1650.91650391,2023-08-11
Sassuolo,1649.57409668,2023-08-11
Mallorca,1649.56640625,2023-08-11
Sheffield Utd,1644.07336426,2023-08-11
Hoffenheim,1639.1697998,2023-08-11
Cádiz,1634.78674316,2023-08-11
Stuttgart,1628.80102539,2023-08-11
Empoli,1626.07971191,2023-08-11
Rayo Vallecano,1623.33251953,2023-08-11
Granada,1620.57788086,2023-08-11
